,product_name,product_price,product_desc1,product_img_url,product_buy_link
15,Women Flared High Rise Blue Jeans,₹499,83% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/o/1/u/28-kttladiesjeans854-kotty-original-imags7tess6zjqjx.jpeg?q=70,https://www.flipkart.com/kotty-flared-women-blue-jeans/p/itm17f5f2d292040?pid=JEAGFFMYKUAQVN38&lid=LSTJEAGFFMYKUAQVN38GLZIJG&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_16&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGFFMYKUAQVN38.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
16,Women Boyfriend High Rise Dark Blue Jeans,₹489,67% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/x/a/c/34-j-1285-kashian-original-imagnyxjv5pgjvyk.jpeg?q=70,https://www.flipkart.com/kashian-boyfriend-women-dark-blue-jeans/p/itm6f02c1f69ac55?pid=JEAGNFYUDKXPJNRQ&lid=LSTJEAGNFYUDKXPJNRQO1GA1L&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_17&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NDNU0MU7liSHwufdQeGekXpJlHSXJR86F5jNuTGbqbZWA%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
17,Men Slim Low Rise Blue Jeans,₹759,68% off,https://rukminim2.flixcart.com/image/612/612/kxqg2a80/jean/r/7/z/28-ri70019-ragzo-original-imaga4hdrkjv3gzh.jpeg?q=70,https://www.flipkart.com/ragzo-slim-men-blue-jeans/p/itmf72b232780c72?pid=JEAGA4HE3TCZS9UR&lid=LSTJEAGA4HE3TCZS9URX0PGDN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_18&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NDotfOqWigJieB2n2Ff2DBiU9oRPAGKgQYewLRi9mMKdA%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
18,Women Regular High Rise Grey Jeans,₹499,75% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/a/d/p/m-kttladiesjeans916-kotty-original-imagajtbhqsckbhr-bb.jpeg?q=70,https://www.flipkart.com/kotty-regular-women-grey-jeans/p/itm388ad1fa9cf8e?pid=JEAGAJTCVTAUSXEZ&lid=LSTJEAGAJTCVTAUSXEZKXUO1S&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_19&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGAJTCVTAUSXEZ.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
19,Men Slim Mid Rise Black Jeans,₹499,61% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/i/g/a/30-mh-blk-kc-4-marsh-hawk-original-imags2v3wvsmpeuv.jpeg?q=70,https://www.flipkart.com/maahit-slim-men-black-jeans/p/itm0fa03f43f77a2?pid=JEAGXJNYXXKGC5HB&lid=LSTJEAGXJNYXXKGC5HB2YYIRG&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_20&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGXJNYXXKGC5HB.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
20,Women Boyfriend High Rise Light Blue Jeans,₹489,67% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/c/7/q/34-j-1285-kashian-original-imagnyxjytsb2x8b.jpeg?q=70,https://www.flipkart.com/kashian-boyfriend-women-light-blue-jeans/p/itm217de25373016?pid=JEAGNYY8BTWXCBQP&lid=LSTJEAGNYY8BTWXCBQPYECZK3&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_21&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4ND2bbNhQRxXhQurkCbFvI6_7LIC3O9DJbGlRGGb-OtOSw%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
21,Men Slim Mid Rise Dark Blue Jeans,₹623,68% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/i/e/m/30-sc-df-m-015-dennie-foste-original-imagrvde37ydsahn.jpeg?q=70,https://www.flipkart.com/dennie-foste-slim-men-dark-blue-jeans/p/itm7c55d6c2c1421?pid=JEAGRVGU9VYVGKYS&lid=LSTJEAGRVGU9VYVGKYSO80VVQ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_22&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NBqegzoyBgG5ktJigxnxqupOY91gWtHo_4w5SaJXNVE6w%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
22,Women Flared Mid Rise Light Blue Jeans,₹499,75% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/u/5/v/34-wl-l-blue1-zayla-original-imagtsjgxf2wzjhn.jpeg?q=70,https://www.flipkart.com/zayla-flared-women-light-blue-jeans/p/itm67043b813af09?pid=JEAGTSJJTTRG4UZ7&lid=LSTJEAGTSJJTTRG4UZ7IIZ5E4&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_23&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGTSJJTTRG4UZ7.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
23,Women Skinny High Rise Black Jeans,₹499,58% off,https://rukminim2.flixcart.com/image/612/612/l12h1u80/jean/m/l/q/34-jeans-black2-4-zayla-original-imagcpy6jgjj43um.jpeg?q=70,https://www.flipkart.com/zayla-skinny-women-black-jeans/p/itmc7c3069686b35?pid=JEAGCPYBPE2QEFGK&lid=LSTJEAGCPYBPE2QEFGKC2AD5P&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_24&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGCPYBPE2QEFGK.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
24,Women Regular High Rise Black Jeans,₹499,75% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/i/7/j/30-kttladiesjeans1003-kotty-original-imaggbnfsf45yhgg.jpeg?q=70,https://www.flipkart.com/kotty-regular-women-black-jeans/p/itm9c49bb6a7b41c?pid=JEAGGBRUVSHE5QXE&lid=LSTJEAGGBRUVSHE5QXEJWGYDO&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&spotlightTagId=BestsellerId_clo%2Fvua%2Fk58&srno=s_1_25&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGGBRUVSHE5QXE.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
